TC_Util_FilterState
SignalList:
Input  Output  filter.Samples
--------------------------------------
 100  100   20 	// Init Values. State is set to Input
   0   95   20 	// Step response 100 -> 0
   0   90   20 	// 
   0   86   20 	// 
   0   82   20 	// 
   0   78   20 	// 
   0   74   20 	// 
   0   71   20 	// 
   0   67   20 	// 
   0   64   20 	// 
   0   61   20 	// 
   0   58   20 	// 
   0   55   20 	// 
   0   53   20 	// 
   0   50   20 	// 
   0   48   20 	// 
   0   45   20 	// 
   0   43   20 	// 
   0   41   20 	// 
   0   39   20 	// 
   0   37   20 	// 
   0   35   20 	// 
   0   34   20 	// 
   0   32   20 	// 
   0   31   20 	// 
   0   29   20 	// 
   0   28   20 	// 
   0   26   20 	// 
   0   25   20 	// 
   0   24   20 	// 
   0   23   20 	// 
   0   22   20 	// 
   0   20   20 	// 
   0   19   20 	// 
   0   19   20 	// 
   0   18   20 	// 
   0   17   20 	// 
   0   16   20 	// 
   0   15   20 	// 
   0   14   20 	// 
   0   14   20 	// 
   0   13   20 	// 
   0   12   20 	// 
   0   12   20 	// 
   0   11   20 	// 
   0   11   20 	// 
   0   10   20 	// 
   0   10   20 	// 
   0    9   20 	// 
   0    9   20 	// 
   0    8   20 	// 
   0    8   20 	// 
   0    7   20 	// 
   0    7   20 	// 
   0    7   20 	// 
   0    6   20 	// 
   0    6   20 	// 
   0    6   20 	// 
   0    5   20 	// 
   0    5   20 	// 
   0    5   20 	// 
   0    5   20 	// 
 200   14   20 	// Step response 0 -> 200
 200   23   20 	// 
 200   31   20 	// 
 200   39   20 	// 
 200   47   20 	// 
 200   54   20 	// 
 200   61   20 	// 
 200   68   20 	// 
 200   74   20 	// 
 200   80   20 	// 
 200   86   20 	// 
 200   91   20 	// 
 200   96   20 	// 
 200  101   20 	// 
 200  106   20 	// 
 200  110   20 	// 
 200  114   20 	// 
 200  119   20 	// 
 200  122   20 	// 
 200  126   20 	// 
 200  130   20 	// 
 200  133   20 	// 
 200  136   20 	// 
 200  139   20 	// 
 200  142   20 	// 
 200  145   20 	// 
 200  147   20 	// 
 200  150   20 	// 
 200  152   20 	// 
 200  154   20 	// 
 200  157   20 	// 
 200  159   20 	// 
 200  161   20 	// 
 200  162   20 	// 
 200  164   20 	// 
 200  166   20 	// 
 200  167   20 	// 
 200  169   20 	// 
 200  170   20 	// 
 200  172   20 	// 
 200  173   20 	// 
 200  174   20 	// 
 200  176   20 	// 
 200  177   20 	// 
 200  178   20 	// 
 200  179   20 	// 
 200  180   20 	// 
 200  181   20 	// 
 200  182   20 	// 
 200  183   20 	// 
 200  183   20 	// 
 200  184   20 	// 
 200  185   20 	// 
 200  186   20 	// 
 200  186   20 	// 
 200  187   20 	// 
 200  187   20 	// 
 200  188   20 	// 
 200  189   20 	// 
 200  189   20 	// 
 200  190   20 	// 
   0  186   50 	// Increase Time constant. Step response 200 -> 0
   0  182   50 	// 
   0  179   50 	// 
   0  175   50 	// 
   0  172   50 	// 
   0  168   50 	// 
   0  165   50 	// 
   0  162   50 	// 
   0  159   50 	// 
   0  155   50 	// 
   0  152   50 	// 
   0  149   50 	// 
   0  146   50 	// 
   0  144   50 	// 
   0  141   50 	// 
   0  138   50 	// 
   0  135   50 	// 
   0  133   50 	// 
   0  130   50 	// 
   0  127   50 	// 
   0  125   50 	// 
   0  122   50 	// 
   0  120   50 	// 
   0  118   50 	// 
   0  115   50 	// 
   0  113   50 	// 
   0  111   50 	// 
   0  109   50 	// 
   0  107   50 	// 
   0  104   50 	// 
   0  102   50 	// 
   0  100   50 	// 
   0   98   50 	// 
   0   96   50 	// 
   0   95   50 	// 
   0   93   50 	// 
   0   91   50 	// 
   0   89   50 	// 
   0   87   50 	// 
   0   86   50 	// 
   0   84   50 	// 
   0   82   50 	// 
   0   81   50 	// 
   0   79   50 	// 
   0   77   50 	// 
   0   76   50 	// 
   0   74   50 	// 
   0   73   50 	// 
   0   72   50 	// 
   0   70   50 	// 
   0   69   50 	// 
   0   67   50 	// 
   0   66   50 	// 
   0   65   50 	// 
   0   63   50 	// 
   0   62   50 	// 
   0   61   50 	// 
   0   60   50 	// 
   0   59   50 	// 
   0   57   50 	// 
   0   56   50 	// 
